user_id,monthly_income,category,subcategory,expense_name,amount,frequency,monthly_equivalent
1,5629.04,needs,groceries,groceries,717.9,one time,717.9
1,5629.04,needs,rent/mortgage,rent_mortgage,516.75,biweekly,1121.35
1,5629.04,needs,utilities,utilities,262.3,monthly,262.3
1,5629.04,needs,gas/transport,gas_transport,278.57,monthly,278.57
1,5629.04,needs,insurance,insurance,217.7,monthly,217.7
1,5629.04,needs,bills,bills,60.85,weekly,263.48
1,5629.04,needs,healthcare,healthcare,68.38,biweekly,148.38
1,5629.04,wants,dining out,dining_out,33.55,weekly,145.27
1,5629.04,wants,entertainment,entertainment,56.72,biweekly,123.08
1,5629.04,wants,shopping,shopping,481.61,monthly,481.61
1,5629.04,wants,subscriptions,subscriptions,134.73,monthly,134.73
1,5629.04,wants,hobbies,hobbies,91.64,biweekly,198.86
1,5629.04,wants,travel,travel,126.8,monthly,126.8
1,5629.04,wants,personal care,personal_care,53.96,biweekly,117.09
1,5629.04,wants,other,other,64.43,monthly,64.43
2,17186.05,needs,groceries,groceries,1787.85,monthly,1787.85
2,17186.05,needs,rent/mortgage,rent_mortgage,4552.24,one time,4552.24
2,17186.05,needs,utilities,utilities,141.96,weekly,614.69
2,17186.05,needs,gas/transport,gas_transport,1062.53,monthly,1062.53
2,17186.05,needs,insurance,insurance,715.29,monthly,715.29
2,17186.05,needs,bills,bills,524.47,monthly,524.47
2,17186.05,needs,healthcare,healthcare,190.52,biweekly,413.43
2,17186.05,wants,dining out,dining_out,133.03,weekly,576.02
2,17186.05,wants,entertainment,entertainment,111.14,biweekly,241.17
2,17186.05,wants,hobbies,hobbies,321.29,one time,321.29
2,17186.05,wants,travel,travel,243.07,biweekly,527.46
2,17186.05,wants,personal care,personal_care,168.8,biweekly,366.3
2,17186.05,wants,gifts,gifts,122.11,weekly,528.74
2,17186.05,wants,other,other,148.8,monthly,148.8
3,1934.16,needs,groceries,groceries,205.08,monthly,205.08
3,1934.16,needs,rent/mortgage,rent_mortgage,702.08,one time,702.08
3,1934.16,needs,utilities,utilities,72.98,monthly,72.98
3,1934.16,needs,gas/transport,gas_transport,34.44,weekly,149.13
3,1934.16,needs,insurance,insurance,25.15,weekly,108.9
3,1934.16,needs,bills,bills,58.01,monthly,58.01
3,1934.16,needs,healthcare,healthcare,16.2,weekly,70.15
3,1934.16,needs,childcare,childcare,95.64,monthly,95.64
3,1934.16,needs,other,other,46.36,monthly,46.36
3,1934.16,wants,dining out,dining_out,46.28,one time,46.28
3,1934.16,wants,entertainment,entertainment,110.01,monthly,110.01
3,1934.16,wants,shopping,shopping,41.7,monthly,41.7
3,1934.16,wants,hobbies,hobbies,8.05,weekly,34.86
