user_id,monthly_income,weekly_wage,checking_balance,savings_balance,total_needs,total_wants,actual_savings,savings_rate,num_expenses,budget_status,needs_groceries,needs_rent_mortgage,needs_utilities,needs_gas_transport,needs_insurance,needs_bills,needs_healthcare,needs_childcare,needs_other,wants_dining_out,wants_entertainment,wants_shopping,wants_subscriptions,wants_hobbies,wants_travel,wants_personal_care,wants_gifts,wants_other
1,4050.02,935.34,868.67,687.89,2639.73,1044.97,365.32,0.0902,15,tight,350.33,1294.89,250.15,231.62,168.31,115.98,132.41,0.0,96.04,272.81,0.0,195.59,0.0,146.47,134.18,137.06,128.99,29.87
2,7520.5,1736.84,1128.83,427.12,4542.14,1433.19,1545.17,0.2055,15,healthy,731.03,1679.52,414.43,500.92,406.46,254.76,194.47,250.21,110.34,339.08,346.18,0.0,244.73,0.0,0.0,250.09,176.78,76.33
3,3520.72,813.1,708.27,222.36,2224.9,1112.68,183.14,0.052,14,tight,372.44,1042.52,149.77,267.33,135.32,162.03,95.49,0.0,0.0,242.85,149.49,330.08,0.0,57.28,177.23,49.41,106.34,0.0
4,4138.43,955.76,670.61,401.78,2449.1,624.01,1065.32,0.2574,14,healthy,478.55,900.4,213.1,303.79,171.12,188.37,110.13,0.0,83.64,0.0,195.74,0.0,0.0,79.88,50.44,77.14,95.73,125.08
5,5727.67,1322.79,819.95,511.81,3836.66,1368.32,522.69,0.0913,14,tight,419.53,1744.41,325.59,263.09,292.62,185.6,210.44,278.04,117.34,0.0,149.97,548.82,0.0,0.0,290.35,231.08,148.1,0.0
6,5495.95,1269.27,1960.22,1854.17,3193.53,1723.64,578.78,0.1053,16,healthy,403.56,1541.5,218.32,246.68,290.46,184.91,203.49,0.0,104.61,467.72,144.66,247.32,44.94,295.82,0.0,280.28,93.9,149.0
7,5863.51,1354.16,951.09,387.1,3338.07,1256.41,1269.03,0.2164,13,healthy,446.89,1409.76,335.82,305.74,265.56,284.22,149.64,0.0,140.44,145.48,0.0,477.95,0.0,235.1,0.0,198.56,0.0,199.32
8,2654.19,612.98,300.67,134.6,1745.07,502.0,407.12,0.1534,14,healthy,310.03,701.42,105.2,194.09,157.46,75.91,71.61,129.35,0.0,61.32,67.27,120.67,0.0,0.0,0.0,127.12,67.0,58.62
9,5967.1,1378.08,1811.62,1944.05,3618.39,1606.58,742.13,0.1244,16,healthy,431.4,1516.09,286.97,275.46,242.88,229.53,211.95,272.63,151.48,386.39,253.18,481.84,0.0,155.5,0.0,162.75,73.43,93.49
10,17960.25,4147.86,14426.97,7994.1,10745.77,3991.34,3223.14,0.1795,15,healthy,1440.08,5075.5,809.21,1239.98,749.65,513.42,530.76,0.0,387.17,935.34,221.49,495.57,0.0,580.26,0.0,530.56,640.06,588.06
11,14459.14,3339.29,4635.36,1919.88,8613.33,2862.48,2983.33,0.2063,15,healthy,1150.21,3927.27,870.38,1012.09,609.85,652.47,391.06,0.0,0.0,382.59,460.57,0.0,255.69,142.85,440.48,383.87,320.23,476.2
12,3518.71,812.64,1734.06,3271.45,1997.24,712.36,809.11,0.2299,12,healthy,331.67,965.96,188.84,197.71,126.0,109.98,77.08,0.0,0.0,152.83,95.48,0.0,126.66,155.36,182.03,0.0,0.0,0.0
13,4512.49,1042.15,0,0,3290.06,1394.99,-172.56,-0.0382,16,over,415.77,1615.04,263.23,240.06,283.7,224.69,171.23,0.0,76.34,299.26,207.38,349.88,28.79,128.64,133.97,0.0,115.13,131.94
14,3901.93,901.14,833.41,654.27,2557.76,990.35,353.82,0.0907,15,tight,338.44,1256.74,214.78,233.32,193.64,133.45,123.82,0.0,63.57,221.0,213.48,0.0,70.75,99.89,210.09,114.79,0.0,60.35
15,5449.17,1258.47,1702.61,965.83,3578.97,632.56,1237.64,0.2271,13,healthy,700.72,1327.11,222.45,264.07,278.04,279.98,182.84,216.78,106.98,0.0,0.0,332.38,44.82,0.0,0.0,123.55,0.0,131.81
16,12973.53,2996.2,2303.24,2379.34,8690.89,3101.25,1181.39,0.0911,14,tight,1366.26,3782.17,827.75,901.12,557.08,437.94,309.0,509.57,0.0,1031.01,0.0,1157.41,154.83,0.0,0.0,199.8,309.44,248.76
17,4987.59,1151.87,6.59,7.78,3232.54,1738.65,16.4,0.0033,18,tight,373.2,1339.57,212.03,382.2,260.63,259.32,128.94,195.98,80.67,258.75,159.6,237.8,171.34,146.97,262.64,266.68,91.76,143.11
18,14381.16,3321.28,0,0,10157.71,5345.56,-1122.11,-0.078,17,over,1609.18,5169.85,606.58,889.21,543.55,717.77,332.42,0.0,289.15,1273.0,503.56,1396.98,427.12,458.02,322.63,446.3,235.21,282.74
19,3784.02,873.91,337.58,273.94,2327.29,960.42,496.31,0.1312,15,healthy,358.14,1042.35,175.72,266.86,149.71,117.42,102.08,115.01,0.0,0.0,265.63,158.35,31.82,124.92,185.17,139.2,55.33,0.0
20,1666.36,384.84,540.06,596.54,945.37,412.2,308.79,0.1853,15,healthy,146.59,417.41,76.24,84.64,92.41,53.65,46.46,0.0,27.97,108.33,48.76,0.0,59.37,66.76,89.95,0.0,27.94,11.09
21,5489.34,1267.75,1903.46,1983.56,3363.97,1646.23,479.14,0.0873,15,tight,400.4,1534.0,239.26,350.52,296.95,243.0,180.41,0.0,119.43,320.94,0.0,468.09,0.0,289.37,254.55,168.44,88.72,56.12
22,18045.88,4167.64,2618.98,4065.72,9627.69,5921.62,2496.57,0.1383,17,healthy,1659.25,3579.18,877.82,1194.73,1076.84,552.21,387.08,0.0,300.58,1501.49,367.89,1124.91,181.72,765.89,765.18,242.82,623.41,348.31
23,5955.69,1375.45,720.53,813.93,3485.62,487.2,1982.87,0.3329,12,healthy,545.07,1357.23,359.97,392.25,315.14,279.22,138.56,0.0,98.18,236.1,72.48,0.0,0.0,100.37,0.0,0.0,78.25,0.0
24,1563.56,361.1,228.31,271.57,1000.1,453.97,109.49,0.07,15,tight,151.5,462.4,65.12,106.6,85.63,67.92,60.93,0.0,0.0,75.47,32.68,110.52,37.4,44.33,0.0,75.82,29.56,48.19
25,4748.6,1096.67,895.86,615.09,2758.15,1222.34,768.11,0.1618,17,healthy,375.89,984.29,179.48,325.74,245.47,196.96,110.17,218.48,121.67,277.05,120.87,242.56,143.48,217.63,48.35,99.89,72.51,0.0
26,2133.17,492.65,175.3,145.45,1174.13,620.69,338.35,0.1586,17,healthy,153.25,495.2,96.48,145.0,110.98,62.42,68.5,0.0,42.3,152.78,61.83,166.48,51.15,39.48,50.7,36.06,44.81,17.4
27,1813.06,418.72,923.69,1166.08,1093.31,367.5,352.25,0.1943,14,healthy,173.61,550.34,85.49,87.37,88.46,66.51,41.53,0.0,0.0,128.61,30.05,64.28,63.0,0.0,0.0,30.47,14.98,36.11
28,5270.6,1217.23,1436.98,745.42,3253.04,1386.45,631.11,0.1197,15,healthy,566.44,1588.41,195.27,278.82,193.33,186.84,116.07,0.0,127.86,261.97,346.56,404.07,55.48,0.0,128.9,88.36,101.11,0.0
29,8715.59,2012.84,7378.94,2177.09,5042.92,2014.87,1657.8,0.1902,16,healthy,637.46,2198.26,450.94,445.13,557.23,275.49,287.14,0.0,191.27,186.1,276.36,899.8,76.73,85.59,212.46,0.0,92.81,185.02
30,3649.46,842.83,692.49,1311.97,1941.82,1207.08,500.56,0.1372,16,healthy,284.16,814.77,212.16,175.03,172.72,122.99,95.35,0.0,64.64,283.32,259.35,191.13,111.34,0.0,138.14,49.69,53.1,121.01
31,9538.52,2202.89,2767.23,2728.43,5760.46,1985.65,1792.41,0.1879,14,healthy,1200.22,2504.86,444.35,477.72,362.19,343.83,206.89,0.0,220.4,791.12,0.0,0.0,231.47,187.85,0.0,353.18,200.26,221.77
32,3124.85,721.67,111.84,159.29,2415.63,583.01,126.21,0.0404,16,tight,343.3,1124.14,158.69,242.44,145.97,135.17,79.89,113.36,72.67,57.24,70.33,251.83,24.67,69.39,0.0,0.0,67.06,42.49
33,2155.73,497.86,1635.73,1072.71,1292.89,350.91,511.93,0.2375,14,healthy,186.23,580.77,103.89,116.85,120.21,101.61,48.48,0.0,34.85,0.0,64.11,71.13,59.94,61.57,24.98,69.18,0.0,0.0
34,1736.0,400.92,176.52,250.12,1144.56,502.95,88.49,0.051,12,tight,188.72,617.17,68.75,96.1,64.76,63.9,45.16,0.0,0.0,144.98,94.16,139.68,0.0,0.0,0.0,0.0,62.34,61.79
35,9405.45,2172.16,723.12,449.46,6121.19,2484.46,799.8,0.085,13,tight,1060.07,2851.1,472.74,463.08,552.21,388.41,333.58,0.0,0.0,846.21,546.93,0.0,237.68,230.45,355.44,267.75,0.0,0.0
36,12254.7,2830.18,2283.57,2798.5,7471.16,2281.22,2502.32,0.2042,15,healthy,1554.51,2986.72,501.08,635.77,654.8,531.64,385.43,0.0,221.21,0.0,206.78,512.48,300.77,411.18,245.34,360.39,0.0,244.28
37,9443.11,2180.86,1248.19,892.97,5510.7,2635.62,1296.79,0.1373,16,healthy,1213.65,2438.7,420.91,487.54,357.93,351.47,240.5,0.0,0.0,363.13,404.95,189.67,330.51,106.46,363.01,444.99,262.77,170.13
38,3175.53,733.38,1406.91,1062.01,2010.28,566.72,598.53,0.1885,15,healthy,327.06,954.89,123.4,176.04,164.29,99.89,89.63,0.0,75.08,0.0,64.74,169.48,75.6,98.59,30.96,0.0,48.37,78.98
39,8310.54,1919.29,4709.68,3795.09,4939.74,1080.95,2289.85,0.2755,15,healthy,941.47,1866.92,445.37,393.25,298.74,254.61,221.45,314.54,203.39,0.0,0.0,0.0,214.98,139.56,207.28,315.4,97.8,105.93
40,4978.01,1149.66,4135.51,1462.29,3454.65,475.01,1048.35,0.2106,12,healthy,491.76,1757.2,217.19,306.43,233.15,231.74,108.31,0.0,108.87,0.0,140.72,138.53,0.0,0.0,95.35,0.0,100.41,0.0
